Plant species,Plant variety,Plant genotype,Plant mutant ,Mutant type,Plant age (weeks),Tissue,ABA treatment,App method,Concentration (μm),Pathogen type,Pathogen lifestyle,Pathogen species,Elicitor,% Resistance Change,Binary,Ref
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,ABA,soil drench,100,Fungus,Necrotrophic,B. cinerea,N/A,-800,Susceptible,Audenaert et al
Arabidopsis,,aba2-1,ABA,ABA deficient,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-660,Susceptible,Xiao et al 2017
Arabidopsis,,aba3-1,ABA,ABA deficient,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-455.5555556,Susceptible,Xiao et al 2017
Arabidopsis,,aba2-12,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Oomycete,Necrotrophic,P. irregulare,N/A,-436.3636364,Susceptible,Adie et al 2007
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,500,Fungus,Necrotrophic,B. cinerea,N/A,-375,Susceptible,Achuo et al 2006
Arabidopsis,,aao3-2,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Oomycete,Necrotrophic,P. irregulare,N/A,-354.5454545,Susceptible,Adie et al 2007
Arabidopsis,,pmr4-1,OTHER,callose defficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,-331.5789474,Susceptible,Flors et al 2007
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,250,Fungus,Necrotrophic,B. cinerea,N/A,-325,Susceptible,Achuo et al 2006
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,1000,Fungus,Necrotrophic,B. cinerea,N/A,-325,Susceptible,Achuo et al 2006
Arabidopsis,Col-0,abi1-6,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,R. solanacearum,N/A,-300,Susceptible,Hernández-Blanco 2007
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,750,Fungus,Necrotrophic,B. cinerea,N/A,-295,Susceptible,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,-280,Susceptible,Achuo et al 2006
