Treatment,Age,DSI
Water,4,50
Water,4,50
Water,4,50
Water,4,27.77777778
Water,4,16.66666667
Water,4,19.44444444
20,4,33.33333333
20,4,38.88888889
20,4,36.11111111
20,4,33.33333333
20,4,50
20,4,33.33333333
20,4,33.33333333
20,4,22.22222222
50,4,50
50,4,55.55555556
50,4,83.33333333
50,4,16.66666667
50,4,30.55555556
50,4,41.66666667
50,4,77.77777778
50,4,86.11111111
100,4,41.66666667
100,4,33.33333333
100,4,27.77777778
100,4,63.88888889
100,4,36.11111111
100,4,36.11111111
100,4,44.44444444
100,4,33.33333333
500,4,63.88888889
500,4,63.88888889
500,4,86.11111111
500,4,61.11111111
500,4,69.44444444
500,4,80.55555556
500,4,30.55555556
500,4,36.11111111
